Location,Bedroom,bathroom,Price,House_size_sqm,LandSize_acres,propertyType
Kileleshwa,3.0,2.0,15000000,160.0,,Apartment
Kileleshwa,3.0,2.0,15000000,86.0,,Apartment
Lavington,2.0,1.0,8500000,116.0,,Apartment
Kileleshwa,2.0,1.0,12000000,61.0,,Apartment
Lavington,1.0,1.0,6500000,190.0,,Apartment
Kileleshwa,3.0,2.0,18500000,,0.5,Apartment
Runda,6.0,6.0,300000000,,0.5,Townhouse
Runda,4.0,4.0,350000000,150.0,,Townhouse
Westlands,3.0,2.0,22000000,,,Apartment
Kiambu Road,4.0,4.0,28000000,,,Townhouse
Kileleshwa,2.0,1.0,20000000,,,Apartment
Lavington,5.0,2.0,88000000,,,Townhouse
Kilimani,,,143000000,,0.5,Commercial Property
Karen,4.0,2.0,70000000,600.0,,Townhouse
Ongata Rongai,4.0,4.0,20500000,,,Townhouse
Westlands,2.0,1.0,25000000,200.0,,Apartment
Karen,5.0,5.0,115000000,,,Townhouse
Lower Kabete,3.0,3.0,95000000,,,Townhouse
Kileleshwa,,,180000000,200.0,,Vacant Land
Karen,5.0,5.0,115000000,,,Townhouse
Westlands,4.0,2.0,70000000,54.0,,Townhouse
Ngong Rd,2.0,2.0,5360000,110.0,,Apartment
Lavington,3.0,2.0,12000000,,,Apartment
Runda,5.0,5.0,250000000,,,Townhouse
Ngong Rd,2.0,2.0,9500000,186.0,,Apartment
Lavington,3.0,2.0,20500000,,,Apartment
Lavington,4.0,3.0,47000000,,,Townhouse
Lavington,4.0,3.0,75000000,,,Townhouse
Kileleshwa,3.0,3.0,23000000,165.0,,Apartment
Westlands,2.0,1.0,14500000,,,Apartment
Nairobi West,1.0,,3500000,60.0,,Apartment
Westlands,1.0,1.0,6000000,64.0,,Apartment
Westlands,1.0,1.0,7850000,85.0,,Apartment
Kilimani,2.0,1.0,9000000,,,Apartment
Karen,5.0,5.0,110000000,150.0,,Townhouse
Syokimau,3.0,2.0,11000000,,0.5,Apartment
Thigiri,4.0,5.0,150000000,,,Townhouse
Kilimani,2.0,1.0,15000000,,0.55,Apartment
Runda,5.0,4.0,110000000,75.0,,Townhouse
Westlands,2.0,2.0,8000000,,0.6,Apartment
Lavington,,,180000000,,0.5,Vacant Land
Westlands,5.0,5.0,90000000,,,Townhouse
Kilimani,2.0,2.0,12000000,,,Apartment
Lavington,5.0,5.0,60000000,,,Townhouse
Kileleshwa,2.0,3.0,14500000,223.0,,Apartment
Lavington,2.0,2.0,12000000,,,Apartment
Westlands,1.0,1.0,7890000,130.0,,Apartment
Kilimani,3.0,3.0,12000000,,,Apartment
Lavington,4.0,4.0,120000000,,,Townhouse
Mombasa Rd,,,20668800,,0.7,Industrial Property
Lavington,4.0,2.0,35000000,,,Townhouse
Kiambu Road,4.0,4.0,28500000,,,Townhouse
Karen,5.0,5.0,150000000,,,Townhouse
Kiambu Road,6.0,6.0,140000000,,1.0,Townhouse
Westlands,2.0,2.0,11850000,2.0,,Apartment
Westlands,1.0,1.0,6750000,116.0,,Apartment
Kileleshwa,2.0,2.0,8500000,60.0,,Apartment
Kileleshwa,3.0,4.0,15000000,85.0,,Apartment
Waithaka,1.0,1.0,7500000,165.0,,Apartment
Kilimani,2.0,2.0,9200000,,,Apartment
Lavington,4.0,4.0,35000000,95.0,,Townhouse
Riverside,2.0,2.0,13500000,,,Apartment
Kilimani,2.0,1.0,12500000,96.0,,Apartment
Karen,4.0,3.0,60000000,,0.5,Townhouse
Lavington,1.0,1.0,6730000,,,Townhouse
Westlands,1.0,1.0,6000000,60.0,,Apartment
Runda,8.0,7.0,200000000,,0.5,Townhouse
Nairobi West,2.0,2.0,9500000,,,Apartment
Kilimani,2.0,1.0,12500000,96.0,,Apartment
Kiambu Road,4.0,3.0,28000000,234.0,,Townhouse
