log_id,camper_id,timestamp,engine_temp_c,oil_level_pct,tire_pressure_psi,battery_voltage
SNS000043,RV00812,2023-09-06 19:06:40,86.08,98.3,34.1,12.19
SNS000044,RV00426,2023-05-30 22:31:18,93.79,38.6,34.0,12.46
SNS000045,RV00668,2025-02-16 18:56:35,84.87,58.1,34.2,12.65
SNS000046,RV00812,2024-02-17 08:47:41,99.49,31.0,34.0,13.05
SNS000047,RV00650,2023-12-29 10:47:16,92.35,97.1,34.9,13.07
SNS000048,RV00429,2024-07-19 19:22:12,84.81,89.7,36.5,11.96
SNS000049,RV00704,2024-11-24 07:33:44,83.91,93.0,28.4,12.64
SNS000050,RV00767,2024-10-04 20:48:23,101.76,63.6,36.1,12.55
SNS000051,RV00715,2024-01-31 23:58:55,88.09,99.5,34.1,12.85
SNS000052,RV00529,2023-09-04 07:35:49,92.57,36.8,34.7,13.02
SNS000053,RV00360,2024-05-28 23:18:38,88.51,95.5,32.7,12.82
SNS000054,RV00987,2024-01-10 00:57:46,90.85,99.8,38.4,12.52
SNS000055,RV00929,2024-04-27 20:57:17,90.93,72.9,39.3,11.74
SNS000056,RV00375,2023-12-26 13:12:45,92.2,55.2,32.8,12.57
SNS000057,RV00941,2024-01-21 00:58:17,96.16,58.4,38.0,13.25
SNS000058,RV00059,2025-02-06 15:44:30,90.98,60.8,36.9,11.44
SNS000059,RV00262,2025-02-15 07:01:43,85.46,88.1,34.7,13.76
SNS000060,RV00536,2024-08-31 06:14:09,91.44,68.1,29.2,12.69
SNS000061,RV00905,2024-02-08 05:46:48,96.19,75.4,38.2,12.91
SNS000062,RV00311,2024-04-16 12:17:05,93.77,86.3,36.5,12.71
SNS000063,RV00685,2024-06-21 17:44:26,93.75,82.7,37.9,13.12
SNS000064,RV00830,2023-05-17 03:43:17,94.78,86.3,37.4,13.27
SNS000065,RV00757,2024-10-23 15:36:37,93.64,61.6,35.4,13.03
SNS000066,RV00383,2023-08-02 08:36:25,95.42,93.2,33.8,12.3
SNS000067,RV00690,2023-11-16 02:25:55,87.25,67.4,32.9,12.18
SNS000068,RV00204,2023-12-03 05:57:04,97.36,96.9,38.3,12.87
SNS000069,RV00471,2023-11-08 05:34:55,83.06,68.2,32.3,12.77
SNS000070,RV00645,2024-09-10 04:45:16,85.93,91.1,33.5,12.59
SNS000071,RV00717,2024-02-18 21:33:05,83.73,93.4,32.8,13.32
SNS000072,RV00711,2024-07-23 22:19:48,93.39,53.0,39.4,12.98
SNS000073,RV00834,2024-12-14 21:48:12,85.2,74.3,31.3,12.1
SNS000074,RV00063,2024-06-05 09:34:56,102.21,60.8,33.4,13.41
SNS000075,RV00025,2024-07-18 22:42:10,85.18,75.2,33.4,12.28
SNS000076,RV00481,2024-02-21 21:36:31,93.71,84.2,39.1,12.58
SNS000077,RV00651,2024-01-26 02:14:09,96.68,45.9,38.6,12.57
SNS000078,RV00197,2023-12-19 09:04:50,90.58,88.2,33.1,12.95
SNS000079,RV00649,2025-04-11 05:41:43,82.88,61.5,32.4,12.04
SNS000080,RV00201,2024-11-19 17:10:43,86.39,46.5,34.2,12.87
SNS000081,RV00748,2025-04-06 20:53:11,90.66,74.3,34.4,12.43
SNS000082,RV00187,2023-07-08 18:43:06,92.25,80.8,37.5,13.23
SNS000083,RV00127,2024-06-06 19:53:33,90.09,87.9,37.1,12.17
SNS000084,RV00419,2024-02-03 13:14:53,83.67,46.0,32.2,12.69
SNS000085,RV00439,2023-08-09 16:45:56,90.8,69.0,35.2,13.31
SNS000086,RV00309,2024-04-11 11:41:38,90.49,37.1,36.9,12.39
SNS000087,RV00468,2023-11-22 11:04:45,91.66,87.9,36.9,13.13
SNS000088,RV00638,2023-05-31 10:14:34,86.41,56.3,30.5,12.6
SNS000089,RV00773,2024-12-15 08:42:01,94.6,59.6,36.2,12.72
SNS000090,RV00950,2025-01-22 00:27:20,95.85,97.9,31.8,12.07
SNS000091,RV00231,2024-04-28 18:24:33,93.05,40.9,28.8,12.44
SNS000092,RV00561,2023-11-24 21:22:22,94.98,86.7,38.9,13.18
SNS000093,RV00058,2024-05-10 01:53:02,104.63,57.3,34.8,11.91
SNS000094,RV00693,2024-06-02 10:56:57,100.37,73.2,34.2,11.96
SNS000095,RV00876,2024-09-25 17:40:09,84.01,49.5,41.9,13.12
SNS000096,RV00844,2023-07-08 13:00:16,86.8,66.0,30.8,13.12
SNS000097,RV00684,2023-06-09 23:25:45,79.76,58.1,35.1,12.46
SNS000098,RV00120,2024-11-05 21:27:42,85.18,47.6,36.8,12.5
SNS000099,RV00379,2025-03-23 19:20:27,91.04,94.9,36.7,12.39
SNS000100,RV00734,2023-08-26 16:21:45,86.14,79.0,39.4,12.16
SNS000101,RV00616,2023-07-07 14:51:58,88.05,43.2,36.5,12.7
SNS000102,RV00462,2024-09-19 05:46:56,84.64,52.2,30.6,12.74
SNS000103,RV00156,2024-10-09 03:06:08,92.93,67.9,34.9,13.55
SNS000104,RV00330,2024-08-20 23:11:50,80.2,93.2,37.1,12.76
SNS000105,RV00949,2025-04-13 15:26:55,84.02,95.6,40.9,12.23
SNS000106,RV00219,2024-12-31 12:00:23,89.21,75.2,35.5,12.86
SNS000107,RV00540,2024-07-15 09:53:26,92.05,59.1,37.2,12.76
SNS000108,RV00916,2023-11-02 15:48:07,93.55,74.6,34.7,12.33
SNS000109,RV00680,2023-05-18 11:08:56,84.44,70.3,34.7,12.12
SNS000110,RV00535,2024-08-08 10:07:09,87.99,58.5,35.7,13.34
SNS000111,RV00301,2024-06-19 04:31:37,86.49,55.0,31.7,12.44
SNS000112,RV00083,2023-05-06 18:12:38,89.71,66.0,34.7,13.27
SNS000113,RV00422,2024-09-14 23:23:34,90.54,66.7,39.1,13.02
SNS000114,RV00847,2024-09-25 02:14:18,91.33,61.4,31.1,12.52
SNS000115,RV00798,2023-05-21 13:11:33,94.96,51.3,35.3,12.45
SNS000116,RV00929,2023-05-25 21:50:08,91.94,62.0,38.8,14.1
SNS000117,RV00831,2023-11-26 05:44:05,94.73,77.5,32.1,12.48
SNS000118,RV00196,2024-05-27 22:58:39,90.12,52.4,39.5,12.79
SNS000119,RV00158,2025-02-15 01:50:55,83.56,76.1,36.8,13.07
SNS000120,RV00862,2023-12-15 17:19:26,94.33,83.4,35.3,13.69
SNS000121,RV00316,2024-08-04 01:59:48,91.7,56.2,33.6,12.45
SNS000122,RV00136,2025-04-20 06:57:12,85.47,94.7,36.2,12.43
SNS000123,RV00441,2024-08-18 15:08:50,91.07,76.7,36.0,11.77
SNS000124,RV00519,2024-05-04 03:14:57,83.12,48.6,40.9,13.06
SNS000125,RV00112,2024-08-01 21:42:03,84.97,85.6,37.0,11.74
SNS000126,RV00683,2023-10-03 07:15:56,91.2,57.7,35.1,12.02
SNS000127,RV00607,2023-10-03 20:47:41,86.35,39.3,32.9,12.69
SNS000128,RV00654,2025-02-12 17:01:27,90.75,77.1,37.6,11.77
SNS000129,RV00776,2024-02-27 09:32:45,84.6,93.7,29.4,11.9
SNS000130,RV00246,2024-09-28 19:42:59,82.56,82.2,34.2,12.85
SNS000131,RV00803,2023-05-26 12:41:28,95.56,55.2,33.9,12.41
SNS000132,RV00572,2024-12-18 20:40:07,85.82,93.9,36.2,13.08
SNS000133,RV00663,2024-09-23 22:58:15,87.85,59.5,35.5,12.14
SNS000134,RV00797,2024-02-13 03:26:40,90.01,77.1,31.0,12.79
SNS000135,RV00447,2024-10-30 15:00:04,94.9,86.4,30.3,13.11
SNS000136,RV00936,2023-11-04 10:34:52,86.15,34.1,40.2,11.38
SNS000137,RV00210,2023-10-05 11:09:51,99.63,32.9,31.1,12.73
SNS000138,RV00482,2024-08-30 19:21:40,77.5,50.2,35.2,12.9
SNS000139,RV00379,2024-08-30 22:58:52,89.54,65.1,34.8,11.93
SNS000140,RV00187,2024-07-30 11:24:29,92.2,35.5,34.0,12.68
SNS000141,RV00929,2025-01-07 10:47:13,84.76,94.1,31.0,12.15
SNS000142,RV00529,2025-03-07 11:51:48,86.73,63.6,32.2,13.5
SNS000143,RV00150,2024-08-23 00:29:28,97.3,30.5,39.7,12.5
SNS000144,RV00079,2024-08-18 15:54:32,81.94,35.9,36.5,11.9
SNS000145,RV00294,2025-01-09 11:57:34,78.07,35.6,36.1,12.95
SNS000146,RV00616,2023-07-13 21:05:44,88.41,76.1,33.8,12.59
SNS000147,RV00030,2024-03-27 14:48:40,84.83,45.3,37.8,13.43
SNS000148,RV00110,2024-11-05 00:36:35,89.65,76.5,30.3,12.84
SNS000149,RV00347,2025-04-16 20:15:13,84.77,69.2,35.8,12.02
SNS000150,RV00881,2024-10-18 03:32:54,95.41,83.6,36.4,13.26
SNS000151,RV00687,2025-01-27 04:53:12,87.24,48.9,34.2,12.67
SNS000152,RV00373,2024-10-22 07:30:46,99.81,49.3,36.1,12.59
SNS000153,RV00851,2025-01-02 00:12:58,90.34,90.4,33.3,13.3
SNS000154,RV00144,2024-09-11 00:42:52,87.55,50.5,37.2,12.6
SNS000155,RV00074,2024-02-08 17:20:33,82.43,61.4,33.2,12.97
SNS000156,RV00060,2025-02-06 04:10:30,85.8,99.3,31.5,13.13
SNS000157,RV00271,2024-10-23 01:34:32,103.63,72.5,36.9,12.54
SNS000158,RV00189,2023-04-21 06:38:01,90.36,34.8,37.0,12.45
SNS000159,RV00638,2023-05-08 19:38:58,95.49,65.2,36.5,12.4
SNS000160,RV00310,2025-02-22 19:16:35,90.07,49.2,35.4,12.82
SNS000161,RV00090,2024-11-16 07:01:24,79.63,58.5,34.4,12.66
SNS000162,RV00650,2024-08-13 16:41:53,93.23,35.6,36.4,12.42
SNS000163,RV00963,2023-12-16 15:39:12,89.5,32.5,34.4,12.39
SNS000164,RV00731,2024-04-19 04:44:18,84.9,72.2,35.7,12.87
SNS000165,RV00460,2024-10-09 08:33:00,98.35,34.6,32.9,12.51
SNS000166,RV00967,2023-08-03 18:25:02,78.62,82.3,35.1,12.25
SNS000167,RV00034,2024-07-16 00:38:05,94.38,94.7,35.0,13.08
SNS000168,RV00418,2023-10-03 18:32:37,95.34,82.5,35.9,12.61
SNS000169,RV00508,2023-08-10 14:36:59,91.28,58.6,34.5,12.7
SNS000170,RV00207,2023-12-21 19:32:33,89.87,95.4,40.9,12.95
SNS000171,RV00561,2024-01-07 06:16:48,93.68,95.1,35.8,12.64
SNS000172,RV00199,2023-10-07 09:11:29,92.15,32.2,36.5,12.42
SNS000173,RV00894,2023-12-03 07:20:09,90.19,90.7,32.3,12.4
SNS000174,RV00602,2024-01-28 06:57:55,96.33,98.2,33.4,12.76
SNS000175,RV00459,2025-01-02 22:04:40,102.41,90.6,28.1,13.64
SNS000176,RV00032,2024-03-11 09:45:02,90.57,79.6,31.6,12.45
SNS000177,RV00544,2024-07-13 13:32:07,92.38,81.2,31.8,12.05
SNS000178,RV00453,2024-07-07 08:02:18,99.82,71.5,34.0,12.43
SNS000179,RV00568,2025-01-06 02:22:27,89.59,54.0,31.6,13.06
SNS000180,RV00431,2023-06-21 10:41:15,97.0,39.1,37.9,13.01
SNS000181,RV00453,2024-02-13 09:07:35,85.06,80.9,33.1,12.9
SNS000182,RV00400,2025-01-21 08:13:05,97.58,46.3,38.1,12.59
SNS000183,RV00060,2024-10-29 01:20:28,83.95,61.9,33.4,13.18
SNS000184,RV00281,2024-11-10 00:45:28,95.75,98.6,39.6,11.96
SNS000185,RV00995,2025-01-25 09:06:43,91.0,51.8,33.0,13.19
SNS000186,RV00871,2025-04-20 13:01:08,91.71,63.7,31.5,12.95
SNS000187,RV00736,2023-05-04 16:49:38,94.08,84.8,35.3,13.82
SNS000188,RV00965,2023-09-23 00:42:08,94.25,57.2,35.1,12.96
SNS000189,RV00219,2024-05-27 20:55:54,83.52,78.6,30.6,12.98
SNS000190,RV00372,2023-06-28 15:31:17,88.6,30.5,33.7,12.39
SNS000191,RV00731,2023-07-02 01:16:20,82.68,38.5,36.0,12.4
SNS000192,RV00081,2024-09-06 14:10:07,80.43,72.3,35.0,12.63
SNS000193,RV00566,2025-02-20 18:26:05,94.24,52.1,26.8,13.72
SNS000194,RV00289,2023-12-11 11:17:51,92.81,98.2,29.8,12.82
SNS000195,RV00514,2024-06-20 03:36:20,94.38,80.1,30.6,13.53
SNS000196,RV00802,2023-07-15 01:02:35,86.4,68.5,33.6,12.92
SNS000197,RV00370,2024-05-01 21:13:31,87.64,88.0,31.6,12.38
SNS000198,RV00960,2025-04-18 11:42:01,86.81,62.4,32.7,12.98
SNS000199,RV00044,2024-11-29 14:13:13,90.05,62.7,32.4,11.84
SNS000200,RV00062,2023-10-30 08:17:03,100.64,51.8,35.5,12.56
SNS000201,RV00625,2024-06-10 15:37:50,83.96,70.3,32.1,11.75
SNS000202,RV00794,2023-10-04 22:44:44,95.35,67.0,35.4,13.2
SNS000203,RV00434,2024-11-23 12:35:31,83.03,53.3,25.0,12.85
SNS000204,RV00478,2025-03-19 02:09:41,95.87,91.4,35.4,12.41
SNS000205,RV00712,2024-07-06 19:59:37,81.96,70.0,31.4,12.54
SNS000206,RV00787,2024-05-07 16:18:53,88.9,31.9,35.0,12.66
SNS000207,RV00374,2023-07-24 23:42:24,100.92,97.6,31.1,11.46
SNS000208,RV00014,2023-11-15 13:58:30,95.85,39.3,36.0,13.46
SNS000209,RV00522,2024-12-12 12:57:28,98.31,94.4,36.4,11.69
SNS000210,RV00363,2023-07-02 13:02:01,84.92,72.9,35.1,12.72
SNS000211,RV00656,2025-03-07 19:02:57,92.63,53.1,38.0,11.93
SNS000212,RV00887,2023-05-04 17:58:59,87.16,84.0,43.2,12.93
SNS000213,RV00817,2024-06-17 10:02:08,89.13,58.9,39.7,12.7
SNS000214,RV00390,2025-03-26 01:14:23,85.18,97.6,34.8,12.79
SNS000215,RV00886,2024-08-16 10:43:28,85.47,72.5,31.7,13.08
SNS000216,RV00418,2023-05-29 15:08:03,85.71,88.8,36.9,12.67
SNS000217,RV00938,2025-01-25 22:00:29,89.14,80.7,33.9,13.64
SNS000218,RV00322,2024-05-13 22:38:21,89.81,72.2,36.1,12.64
SNS000219,RV00473,2025-02-16 00:41:10,90.56,92.5,37.1,12.44
SNS000220,RV00968,2024-01-31 03:12:29,86.41,74.8,35.8,13.83
SNS000221,RV00855,2025-03-13 15:12:52,83.55,94.2,35.1,12.18
SNS000222,RV00370,2024-05-12 20:43:13,86.08,39.7,31.4,13.47
SNS000223,RV00201,2023-08-28 14:11:44,88.31,94.6,35.9,12.99
SNS000224,RV00766,2023-11-08 14:50:36,94.2,34.8,35.4,12.72
SNS000225,RV00647,2023-08-18 18:08:48,92.96,90.8,35.6,12.21
SNS000226,RV00456,2023-06-19 18:25:13,85.49,75.9,32.5,12.26
SNS000227,RV00475,2025-01-06 12:40:20,93.03,71.0,36.9,12.29
SNS000228,RV00945,2024-10-02 17:56:23,86.98,37.0,34.0,13.9
SNS000229,RV00605,2024-12-05 22:32:01,91.07,32.2,32.0,12.49
SNS000230,RV00521,2023-11-20 20:18:29,93.69,74.9,30.2,12.77
SNS000231,RV00400,2024-06-17 00:33:59,88.52,85.2,35.5,13.04
SNS000232,RV00365,2025-01-16 10:08:49,86.94,69.2,34.8,13.17
SNS000233,RV00229,2025-02-15 07:43:17,87.45,37.5,33.6,12.98
SNS000234,RV00200,2023-07-21 16:21:00,79.63,49.5,35.7,12.56
SNS000235,RV00768,2024-07-10 09:46:59,89.88,86.7,35.4,11.62
SNS000236,RV00678,2024-12-25 04:44:42,88.17,58.9,33.4,13.23
SNS000237,RV00072,2024-10-25 23:12:45,81.42,89.6,37.4,12.56
SNS000238,RV00001,2024-11-24 14:40:06,94.12,86.1,29.4,11.63
SNS000239,RV00765,2025-02-02 15:42:04,88.91,85.6,35.7,13.04
SNS000240,RV00318,2025-01-23 12:59:21,92.22,77.2,32.8,13.65
SNS000241,RV00365,2025-01-20 07:07:13,93.14,33.8,35.0,12.42
SNS000242,RV00079,2024-02-02 18:03:05,90.39,31.2,30.8,13.36
SNS000243,RV00724,2024-03-10 02:50:40,88.35,99.0,36.1,11.8
SNS000244,RV00038,2023-09-18 01:33:41,86.3,82.2,32.6,12.86
SNS000245,RV00683,2024-09-22 22:24:26,99.68,69.9,26.3,13.75
SNS000246,RV00713,2023-06-05 09:17:18,89.03,89.1,31.9,12.34
SNS000247,RV00634,2023-12-17 20:55:53,90.43,78.3,37.9,12.4
SNS000248,RV00995,2024-05-02 00:42:59,84.88,46.1,35.5,12.64
SNS000249,RV00368,2023-07-06 10:18:57,95.06,72.2,32.0,13.45
SNS000250,RV00643,2023-09-14 02:07:54,87.96,31.4,30.2,12.77
SNS000251,RV00974,2024-07-23 05:13:12,89.35,94.3,36.0,12.93
SNS000252,RV00225,2024-11-28 18:58:03,84.94,32.2,34.6,12.44
SNS000253,RV00580,2024-05-30 09:08:40,96.38,36.4,36.2,12.48
SNS000254,RV00431,2025-01-17 14:55:32,92.15,55.7,32.3,12.18
SNS000255,RV00221,2024-02-23 03:47:47,94.77,37.7,38.7,13.02
SNS000256,RV00423,2023-07-26 19:48:39,86.02,80.4,29.8,12.22
SNS000257,RV00078,2024-01-01 01:21:13,93.63,35.2,32.4,12.23
SNS000258,RV00970,2025-03-10 04:06:29,84.29,56.1,32.4,13.54
SNS000259,RV00400,2025-03-23 15:59:45,93.36,79.5,33.7,12.7
SNS000260,RV00875,2024-05-15 17:07:52,90.12,77.8,38.3,12.73
SNS000261,RV00211,2024-09-08 23:16:07,90.55,62.9,36.1,12.37
SNS000262,RV00631,2023-07-06 04:58:47,90.31,78.1,39.5,12.3
SNS000263,RV00001,2023-08-06 22:23:09,100.06,71.2,33.2,12.48
SNS000264,RV00258,2024-11-17 02:18:06,95.74,31.6,32.6,12.74
SNS000265,RV00607,2023-08-18 02:35:36,79.77,43.3,34.0,13.1
SNS000266,RV00928,2024-11-16 11:56:29,96.42,42.0,35.6,11.88
SNS000267,RV00806,2023-08-23 00:41:37,89.67,32.0,33.0,12.64
SNS000268,RV00810,2024-01-28 02:25:44,83.31,45.3,32.7,11.77
SNS000269,RV00777,2023-10-14 16:53:57,89.64,70.3,37.0,13.36
SNS000270,RV00458,2025-01-31 05:06:23,86.92,70.5,31.9,12.65
SNS000271,RV00420,2024-06-11 10:06:36,76.07,46.1,38.9,12.71
SNS000272,RV00568,2023-12-14 12:42:20,95.06,37.7,36.2,11.96
SNS000273,RV00547,2023-07-29 20:00:45,96.27,36.8,35.1,12.28
SNS000274,RV00946,2024-03-31 17:13:46,80.74,47.1,31.6,12.38
SNS000275,RV00114,2024-05-27 02:28:30,96.15,55.6,33.5,11.63
SNS000276,RV00338,2024-01-12 05:43:17,92.12,68.7,35.4,12.17
SNS000277,RV00224,2025-01-11 16:11:40,94.23,97.4,34.5,13.01
SNS000278,RV00385,2023-12-05 09:59:18,80.92,67.6,34.5,13.01
SNS000279,RV00742,2023-10-21 18:21:40,90.16,46.1,36.3,12.34
SNS000280,RV00073,2024-10-20 23:33:02,85.38,92.0,34.3,12.18
SNS000281,RV00819,2025-03-01 14:31:35,84.06,64.5,38.9,12.77
SNS000282,RV00978,2023-12-03 23:55:34,95.38,53.3,37.4,13.23
SNS000283,RV00503,2024-07-28 08:44:38,92.81,87.6,38.6,13.09
SNS000284,RV00547,2025-02-18 18:51:49,82.58,50.3,32.0,12.73
SNS000285,RV00744,2023-12-28 06:33:25,93.7,96.9,36.4,12.3
SNS000286,RV00240,2025-02-01 10:28:35,88.82,33.0,36.0,12.41
SNS000287,RV00600,2023-11-26 05:18:01,93.4,60.6,33.1,11.75
SNS000288,RV00027,2023-11-11 11:36:37,84.0,64.1,33.9,12.62
SNS000289,RV00934,2024-09-15 07:52:00,91.85,63.9,35.8,12.79
SNS000290,RV00128,2024-12-16 05:48:47,93.1,79.7,30.8,12.43
SNS000291,RV00560,2025-03-15 00:58:33,89.52,85.8,37.9,12.34
SNS000292,RV00558,2024-07-09 04:55:24,92.1,73.8,31.3,12.45
SNS000293,RV00944,2025-01-01 01:45:30,85.68,58.5,34.2,12.72
SNS000294,RV00400,2024-08-22 03:34:37,92.44,73.0,37.7,12.58
SNS000295,RV00089,2023-11-14 00:26:49,93.03,45.6,34.9,11.78
SNS000296,RV00138,2024-05-06 13:06:48,82.37,61.2,38.1,12.62
SNS000297,RV00358,2024-04-11 00:50:17,86.15,57.4,35.9,12.91
SNS000298,RV00523,2023-04-27 16:09:30,91.47,83.0,31.4,12.82
SNS000299,RV00312,2025-01-23 05:43:28,84.36,46.5,34.4,12.82
SNS000300,RV00464,2023-08-13 21:44:17,88.09,40.0,35.2,11.9
SNS000301,RV00501,2025-04-13 05:24:13,77.74,84.1,34.7,12.27
SNS000302,RV00874,2024-05-18 23:20:47,94.08,65.5,36.8,12.24
SNS000303,RV00919,2023-08-29 18:58:08,88.66,91.8,28.9,13.73
SNS000304,RV00806,2023-12-24 09:53:55,89.35,57.2,30.8,12.85
SNS000305,RV00329,2024-09-18 20:38:54,85.62,48.6,34.4,12.7
SNS000306,RV00514,2023-10-24 15:56:54,90.85,36.0,39.8,12.97
SNS000307,RV00669,2024-01-19 23:31:54,92.54,50.2,35.4,13.25
SNS000308,RV00543,2023-11-12 07:47:55,88.57,89.7,34.1,12.23
SNS000309,RV00136,2025-03-20 14:33:19,89.17,54.2,34.9,14.18
SNS000310,RV00560,2025-02-28 06:06:47,88.98,45.6,32.2,12.46
SNS000311,RV00085,2024-03-17 22:41:21,83.06,69.1,34.0,13.06
SNS000312,RV00396,2025-04-14 20:09:14,94.72,30.9,32.8,12.68
SNS000313,RV00844,2023-06-13 07:20:48,88.71,48.3,35.9,12.98
SNS000314,RV00753,2025-01-08 20:48:11,93.51,53.4,34.4,13.08
SNS000315,RV00121,2023-10-18 09:15:30,90.34,63.4,39.5,12.39
SNS000316,RV00545,2023-10-06 21:56:46,89.88,82.2,43.5,12.47
SNS000317,RV00650,2023-11-22 02:56:01,94.38,42.4,36.0,13.12
SNS000318,RV00728,2024-11-07 15:09:13,88.38,61.8,32.0,11.96
SNS000319,RV00694,2024-05-15 00:49:20,88.28,45.9,37.8,12.18
SNS000320,RV00861,2024-07-22 10:17:12,90.04,77.0,34.3,12.92
SNS000321,RV00452,2024-06-29 03:26:53,88.79,67.8,35.4,12.63
SNS000322,RV00347,2023-10-19 13:33:09,89.78,67.4,32.7,12.34
SNS000323,RV00145,2023-12-31 16:24:28,83.53,69.6,36.3,12.79
SNS000324,RV00209,2024-01-17 14:53:59,88.73,73.8,36.3,12.57
SNS000325,RV00737,2023-07-30 06:59:14,87.19,45.1,35.6,13.14
SNS000326,RV00306,2023-08-11 12:22:08,97.3,91.2,29.4,12.96
SNS000327,RV00451,2024-09-21 07:59:57,88.89,93.2,35.7,12.04
SNS000328,RV00190,2023-09-28 11:05:34,89.45,47.1,36.0,13.02
SNS000329,RV00575,2024-01-11 17:20:11,77.79,92.4,35.5,12.92
SNS000330,RV00412,2024-12-13 21:03:42,87.68,62.5,36.8,13.23
SNS000331,RV00151,2024-04-01 12:45:51,96.96,72.6,35.4,12.58
SNS000332,RV00318,2025-03-04 02:40:14,97.08,56.5,31.4,11.49
SNS000333,RV00216,2025-02-23 03:26:03,86.22,88.3,32.8,13.19
SNS000334,RV00153,2025-01-15 22:53:04,98.73,61.3,31.2,11.91
SNS000335,RV00226,2023-08-24 00:42:27,89.88,84.4,38.9,12.71
SNS000336,RV00208,2025-01-30 22:52:34,94.56,49.8,34.7,12.49
SNS000337,RV00970,2024-08-28 19:12:32,87.59,90.3,35.0,12.62
SNS000338,RV00802,2024-08-22 02:01:23,97.23,42.8,36.8,12.57
SNS000339,RV00349,2024-06-06 04:17:47,88.51,67.2,36.4,13.22
SNS000340,RV00532,2025-04-02 21:37:57,87.24,48.7,36.4,12.93
SNS000341,RV00162,2024-04-10 22:34:09,93.44,88.6,36.0,12.52
SNS000342,RV00151,2023-06-04 14:47:34,90.95,60.9,36.8,12.61
SNS000343,RV00687,2024-03-11 15:50:21,100.43,30.9,36.7,12.95
SNS000344,RV00978,2023-11-11 12:24:54,83.51,44.4,37.5,12.15
SNS000345,RV00351,2024-05-23 01:55:00,88.81,35.5,36.6,12.29
SNS000346,RV00710,2023-05-03 22:19:28,92.02,43.1,36.8,11.75
