booking_id,booking_date,customer_id,camper_id,pickup_date,rental_days,dropoff_date,pickup_location,dropoff_location,booking_channel,base_price,total_price,booking_status,addons,season
BK00031,2023-12-24,CUST49079,RV00275,2023-12-28,11,2024-01-08,LOC015,LOC071,Walk-in,184,2024,Completed,Child Seat,Winter
BK00032,2023-04-04,CUST41783,RV00569,2023-06-09,6,2023-06-15,LOC078,LOC039,Walk-in,178,1068,Completed,None,Fall
BK00033,2024-07-14,CUST47097,RV00373,2024-07-31,2,2024-08-02,LOC058,LOC100,Partner,121,242,Completed,Bike Rack,Winter
BK00034,2022-12-09,CUST22118,RV00883,2022-12-10,10,2022-12-20,LOC016,LOC022,Online,95,950,Completed,GPS,Winter
BK00035,2023-11-21,CUST32723,RV00442,2024-02-06,6,2024-02-12,LOC082,LOC003,Online,150,900,Completed,Bedding,Summer
BK00036,2024-01-25,CUST42937,RV00332,2024-04-08,7,2024-04-15,LOC036,LOC098,Online,113,791,Completed,Bike Rack,Spring
BK00037,2023-10-03,CUST28440,RV00063,2023-12-23,10,2024-01-02,LOC018,LOC090,Walk-in,146,1460,Cancelled,BBQ Kit,Summer
BK00038,2023-10-12,CUST26580,RV00833,2024-01-05,3,2024-01-08,LOC064,LOC020,Walk-in,162,486,Completed,Bike Rack,Winter
BK00039,2023-03-29,CUST44773,RV00183,2023-04-07,4,2023-04-11,LOC010,LOC051,Partner,72,288,Completed,BBQ Kit,Spring
BK00040,2024-03-21,CUST32007,RV00966,2024-03-31,8,2024-04-08,LOC031,LOC056,Online,53,424,Completed,Child Seat,Summer
BK00041,2024-11-08,CUST08857,RV00578,2024-12-27,4,2024-12-31,LOC056,LOC081,Online,177,708,Cancelled,GPS,Fall
BK00042,2023-05-15,CUST12915,RV00368,2023-07-02,3,2023-07-05,LOC070,LOC021,Walk-in,67,201,Cancelled,None,Spring
BK00043,2023-09-08,CUST07241,RV00694,2023-10-26,8,2023-11-03,LOC083,LOC069,Partner,199,1592,Completed,Bedding,Spring
BK00044,2024-04-18,CUST24041,RV00308,2024-05-03,9,2024-05-12,LOC082,LOC063,Online,184,1656,Completed,Child Seat,Summer
BK00045,2024-06-07,CUST46961,RV00230,2024-07-22,10,2024-08-01,LOC023,LOC051,Partner,106,1060,Completed,Child Seat,Summer
BK00046,2025-03-17,CUST15759,RV00562,2025-03-19,3,2025-03-22,LOC019,LOC036,Partner,116,348,Completed,Child Seat,Spring
BK00047,2024-10-05,CUST01001,RV00464,2024-12-02,14,2024-12-16,LOC069,LOC002,Online,179,2506,Completed,None,Summer
BK00048,2023-05-02,CUST12444,RV00163,2023-06-09,3,2023-06-12,LOC027,LOC090,Partner,165,495,Completed,Bedding,Spring
BK00049,2023-05-15,CUST48564,RV00350,2023-05-18,12,2023-05-30,LOC008,LOC049,App,195,2340,Completed,None,Summer
BK00050,2023-06-01,CUST35183,RV00715,2023-08-28,8,2023-09-05,LOC070,LOC060,Online,115,920,Completed,Bike Rack,Summer
BK00051,2022-04-25,CUST09183,RV00403,2022-06-23,5,2022-06-28,LOC071,LOC087,Partner,117,585,Completed,Child Seat,Fall
BK00052,2022-12-06,CUST25361,RV00168,2023-02-07,6,2023-02-13,LOC025,LOC042,Partner,75,450,Completed,Bike Rack,Spring
BK00053,2024-08-23,CUST07708,RV00160,2024-10-05,2,2024-10-07,LOC067,LOC093,App,169,338,Completed,None,Summer
BK00054,2025-04-14,CUST27793,RV00059,2025-04-18,7,2025-04-25,LOC056,LOC038,Walk-in,161,1127,Cancelled,BBQ Kit,Spring
BK00055,2025-02-12,CUST22403,RV00574,2025-03-27,11,2025-04-07,LOC033,LOC051,Online,97,1067,Completed,BBQ Kit,Fall
BK00056,2023-08-15,CUST03734,RV00082,2023-10-15,14,2023-10-29,LOC067,LOC013,Partner,87,1218,Completed,Child Seat,Fall
BK00057,2023-06-27,CUST09552,RV00504,2023-09-21,9,2023-09-30,LOC055,LOC094,Walk-in,61,549,Completed,BBQ Kit,Winter
BK00058,2024-11-03,CUST14436,RV00583,2024-12-22,12,2025-01-03,LOC062,LOC095,App,142,1704,Completed,BBQ Kit,Fall
BK00059,2023-08-21,CUST24796,RV00767,2023-10-24,2,2023-10-26,LOC052,LOC041,App,179,358,Completed,GPS,Fall
BK00060,2024-05-18,CUST39962,RV00513,2024-06-07,3,2024-06-10,LOC085,LOC091,Online,115,345,Completed,Bike Rack,Spring
BK00061,2022-05-05,CUST40571,RV00190,2022-07-29,8,2022-08-06,LOC040,LOC040,Online,140,1120,Completed,Bike Rack,Winter
BK00062,2022-09-28,CUST29973,RV00840,2022-11-12,3,2022-11-15,LOC090,LOC059,App,197,591,Completed,BBQ Kit,Winter
BK00063,2024-09-11,CUST03401,RV00928,2024-09-28,10,2024-10-08,LOC099,LOC090,Walk-in,107,1070,Cancelled,GPS,Spring
BK00064,2023-09-13,CUST20465,RV00795,2023-11-18,7,2023-11-25,LOC027,LOC016,Online,57,399,Completed,Bike Rack,Fall
BK00065,2023-07-25,CUST00919,RV00003,2023-08-16,13,2023-08-29,LOC040,LOC082,Partner,121,1573,Completed,BBQ Kit,Summer
BK00066,2023-01-23,CUST43006,RV00606,2023-03-14,13,2023-03-27,LOC019,LOC027,Walk-in,147,1911,Completed,Bedding,Summer
BK00067,2023-10-01,CUST01349,RV00110,2023-12-10,6,2023-12-16,LOC020,LOC034,App,112,672,Completed,Bike Rack,Fall
BK00068,2023-07-01,CUST22135,RV00945,2023-07-26,8,2023-08-03,LOC073,LOC034,Partner,126,1008,Completed,Child Seat,Fall
BK00069,2023-06-16,CUST21974,RV00019,2023-06-18,11,2023-06-29,LOC076,LOC009,Online,167,1837,Completed,Bike Rack,Fall
BK00070,2023-02-21,CUST04764,RV00601,2023-04-05,9,2023-04-14,LOC054,LOC013,Online,181,1629,Completed,Bike Rack,Spring
BK00071,2024-04-02,CUST05269,RV00077,2024-04-19,14,2024-05-03,LOC016,LOC023,Online,193,2702,Completed,Bedding,Summer
BK00072,2022-03-17,CUST34806,RV00553,2022-05-29,10,2022-06-08,LOC019,LOC035,App,196,1960,Completed,GPS,Winter
BK00073,2024-10-01,CUST05264,RV00506,2024-10-21,7,2024-10-28,LOC070,LOC036,App,187,1309,Completed,BBQ Kit,Fall
BK00074,2025-02-28,CUST13057,RV00502,2025-04-06,6,2025-04-12,LOC065,LOC034,Partner,139,834,Completed,None,Spring
BK00075,2022-06-11,CUST21623,RV00705,2022-08-02,8,2022-08-10,LOC031,LOC045,Partner,148,1184,Completed,Bedding,Spring
BK00076,2024-04-23,CUST42478,RV00952,2024-07-11,3,2024-07-14,LOC098,LOC023,Partner,194,582,Completed,BBQ Kit,Spring
BK00077,2024-12-05,CUST02373,RV00131,2024-12-31,9,2025-01-09,LOC070,LOC071,App,78,702,Completed,Bedding,Summer
BK00078,2025-01-20,CUST36887,RV00016,2025-02-14,13,2025-02-27,LOC061,LOC012,Partner,105,1365,Completed,None,Fall
BK00079,2024-12-21,CUST17111,RV00451,2025-02-23,5,2025-02-28,LOC094,LOC050,Walk-in,157,785,Completed,Child Seat,Winter
BK00080,2024-05-20,CUST16752,RV00742,2024-06-20,2,2024-06-22,LOC091,LOC002,Partner,95,190,Completed,Child Seat,Fall
BK00081,2022-11-16,CUST01528,RV00690,2022-12-16,4,2022-12-20,LOC044,LOC011,Partner,64,256,Completed,GPS,Winter
BK00082,2023-12-19,CUST15779,RV00131,2023-12-29,14,2024-01-12,LOC085,LOC039,Walk-in,154,2156,Completed,Child Seat,Winter
BK00083,2023-09-09,CUST03361,RV00265,2023-10-17,10,2023-10-27,LOC094,LOC047,Partner,91,910,Completed,Bedding,Summer
BK00084,2024-04-14,CUST34664,RV00539,2024-07-08,5,2024-07-13,LOC020,LOC065,Partner,128,640,Completed,GPS,Summer
BK00085,2024-11-19,CUST04731,RV00841,2025-02-15,11,2025-02-26,LOC081,LOC033,Partner,176,1936,Completed,BBQ Kit,Summer
BK00086,2023-11-28,CUST15536,RV00034,2023-12-26,11,2024-01-06,LOC014,LOC084,Online,191,2101,Completed,BBQ Kit,Fall
BK00087,2023-04-01,CUST45301,RV00856,2023-04-25,12,2023-05-07,LOC001,LOC086,App,85,1020,Completed,Bedding,Fall
BK00088,2024-05-22,CUST44565,RV00965,2024-06-20,4,2024-06-24,LOC021,LOC023,Partner,160,640,Completed,None,Winter
BK00089,2022-05-25,CUST35374,RV00565,2022-08-14,5,2022-08-19,LOC092,LOC035,App,71,355,Completed,GPS,Winter
BK00090,2022-04-12,CUST31892,RV00238,2022-07-09,4,2022-07-13,LOC075,LOC027,App,159,636,Completed,Child Seat,Fall
BK00091,2025-01-07,CUST18266,RV00013,2025-01-24,4,2025-01-28,LOC034,LOC047,Online,161,644,Completed,None,Summer
BK00092,2022-07-23,CUST26732,RV00215,2022-10-01,3,2022-10-04,LOC017,LOC011,Partner,75,225,Completed,None,Fall
BK00093,2024-02-27,CUST37559,RV00733,2024-05-01,7,2024-05-08,LOC057,LOC008,Partner,137,959,Cancelled,None,Summer
BK00094,2025-01-30,CUST15204,RV00771,2025-03-02,14,2025-03-16,LOC090,LOC003,Online,197,2758,Completed,None,Winter
BK00095,2023-07-11,CUST26260,RV00344,2023-09-06,11,2023-09-17,LOC052,LOC045,Online,108,1188,Completed,BBQ Kit,Summer
BK00096,2023-08-26,CUST45544,RV00802,2023-09-15,7,2023-09-22,LOC083,LOC069,Online,80,560,Completed,BBQ Kit,Spring
BK00097,2024-02-17,CUST36181,RV00038,2024-04-03,11,2024-04-14,LOC011,LOC043,App,112,1232,Completed,Bike Rack,Summer
BK00098,2024-03-08,CUST09069,RV00732,2024-03-10,5,2024-03-15,LOC087,LOC059,App,64,320,Completed,Bedding,Spring
BK00099,2025-01-06,CUST33192,RV00711,2025-03-29,9,2025-04-07,LOC084,LOC023,Walk-in,171,1539,Completed,Bike Rack,Fall
BK00100,2023-05-14,CUST40923,RV00720,2023-07-03,7,2023-07-10,LOC036,LOC093,App,58,406,Completed,Bike Rack,Spring
BK00101,2022-08-12,CUST29017,RV00630,2022-10-11,13,2022-10-24,LOC099,LOC076,Online,63,819,Completed,Bedding,Fall
BK00102,2024-01-30,CUST48330,RV00497,2024-04-25,9,2024-05-04,LOC007,LOC035,Partner,120,1080,Completed,GPS,Fall
BK00103,2023-05-24,CUST42392,RV00098,2023-07-04,7,2023-07-11,LOC003,LOC012,Online,107,749,Completed,Child Seat,Spring
BK00104,2024-09-16,CUST47619,RV00796,2024-12-01,14,2024-12-15,LOC008,LOC012,Online,166,2324,Completed,None,Winter
BK00105,2023-07-27,CUST48267,RV00049,2023-10-05,10,2023-10-15,LOC020,LOC023,Partner,162,1620,Completed,None,Winter
BK00106,2023-11-05,CUST46963,RV00138,2023-11-22,4,2023-11-26,LOC078,LOC077,Online,153,612,Completed,BBQ Kit,Spring
BK00107,2024-05-31,CUST38181,RV00199,2024-08-17,4,2024-08-21,LOC049,LOC019,Online,104,416,Completed,Bedding,Winter
BK00108,2023-10-26,CUST41525,RV00347,2023-11-05,3,2023-11-08,LOC015,LOC073,Partner,177,531,Completed,None,Spring
BK00109,2024-03-22,CUST17271,RV00628,2024-05-28,11,2024-06-08,LOC033,LOC036,App,134,1474,Completed,Bike Rack,Winter
BK00110,2022-12-07,CUST48184,RV00292,2023-01-18,7,2023-01-25,LOC095,LOC061,Online,182,1274,Completed,BBQ Kit,Winter
BK00111,2024-10-17,CUST05653,RV00105,2025-01-04,8,2025-01-12,LOC039,LOC062,App,69,552,Completed,None,Spring
BK00112,2023-09-10,CUST06141,RV00098,2023-09-26,8,2023-10-04,LOC017,LOC061,Walk-in,78,624,Completed,Bike Rack,Fall
BK00113,2025-03-01,CUST17724,RV00409,2025-04-08,6,2025-04-14,LOC018,LOC018,Partner,161,966,Completed,Bedding,Spring
BK00114,2022-06-13,CUST04512,RV00499,2022-06-27,7,2022-07-04,LOC011,LOC081,App,143,1001,Completed,Bedding,Summer
BK00115,2023-09-09,CUST01123,RV00053,2023-10-15,8,2023-10-23,LOC040,LOC059,Online,65,520,Completed,None,Spring
BK00116,2022-05-09,CUST39809,RV00282,2022-05-22,12,2022-06-03,LOC055,LOC049,Online,191,2292,Completed,Child Seat,Winter
BK00117,2024-12-10,CUST04773,RV00872,2025-02-07,3,2025-02-10,LOC048,LOC064,App,163,489,Completed,BBQ Kit,Spring
BK00118,2024-11-03,CUST00641,RV00334,2024-11-30,11,2024-12-11,LOC079,LOC020,Online,95,1045,Completed,GPS,Spring
BK00119,2023-07-09,CUST44270,RV00019,2023-07-17,13,2023-07-30,LOC030,LOC087,Walk-in,127,1651,Completed,GPS,Summer
BK00120,2023-05-18,CUST21764,RV00073,2023-08-13,8,2023-08-21,LOC066,LOC070,App,67,536,Completed,BBQ Kit,Spring
BK00121,2023-02-22,CUST39926,RV00900,2023-04-16,2,2023-04-18,LOC084,LOC040,App,120,240,Completed,BBQ Kit,Spring
BK00122,2022-09-15,CUST46739,RV00922,2022-11-29,7,2022-12-06,LOC091,LOC022,Online,114,798,Completed,Bike Rack,Summer
BK00123,2024-02-06,CUST18548,RV00281,2024-02-11,9,2024-02-20,LOC036,LOC034,App,195,1755,Completed,Bedding,Fall
BK00124,2025-02-07,CUST26413,RV00767,2025-02-12,14,2025-02-26,LOC059,LOC049,Walk-in,51,714,Completed,GPS,Spring
BK00125,2022-02-16,CUST19166,RV00142,2022-05-16,2,2022-05-18,LOC051,LOC063,App,187,374,Completed,BBQ Kit,Winter
BK00126,2024-04-05,CUST26028,RV00792,2024-06-26,2,2024-06-28,LOC028,LOC001,App,194,388,Completed,Bike Rack,Summer
BK00127,2022-08-26,CUST14805,RV00235,2022-10-13,7,2022-10-20,LOC065,LOC041,Online,128,896,Completed,GPS,Fall
BK00128,2023-09-23,CUST32359,RV00017,2023-10-17,6,2023-10-23,LOC094,LOC049,Online,69,414,Completed,BBQ Kit,Fall
BK00129,2024-09-28,CUST22649,RV00662,2024-12-10,4,2024-12-14,LOC090,LOC011,App,124,496,Completed,Bike Rack,Fall
BK00130,2022-03-07,CUST24218,RV00882,2022-05-21,11,2022-06-01,LOC093,LOC061,Walk-in,96,1056,Completed,Bike Rack,Spring
BK00131,2024-08-20,CUST39070,RV00740,2024-11-06,14,2024-11-20,LOC076,LOC027,Partner,171,2394,Completed,Bike Rack,Winter
BK00132,2023-12-22,CUST12467,RV00760,2024-02-02,11,2024-02-13,LOC050,LOC095,Partner,98,1078,Completed,Bike Rack,Summer
BK00133,2024-03-15,CUST02828,RV00557,2024-03-24,8,2024-04-01,LOC018,LOC006,App,73,584,Completed,Bike Rack,Winter
BK00134,2024-06-10,CUST32901,RV00373,2024-08-13,8,2024-08-21,LOC080,LOC057,Partner,126,1008,Completed,BBQ Kit,Spring
BK00135,2023-07-15,CUST11356,RV00030,2023-09-22,8,2023-09-30,LOC065,LOC031,App,174,1392,Cancelled,BBQ Kit,Summer
BK00136,2024-08-12,CUST45784,RV00950,2024-08-23,7,2024-08-30,LOC039,LOC094,Partner,55,385,Completed,BBQ Kit,Spring
BK00137,2022-11-07,CUST48120,RV00576,2022-11-16,5,2022-11-21,LOC045,LOC063,App,119,595,Cancelled,Bedding,Winter
BK00138,2023-10-02,CUST23704,RV00026,2023-12-18,10,2023-12-28,LOC040,LOC082,App,99,990,Cancelled,BBQ Kit,Fall
BK00139,2022-05-21,CUST48899,RV00654,2022-07-21,13,2022-08-03,LOC095,LOC076,Partner,72,936,Completed,GPS,Fall
BK00140,2024-10-20,CUST28682,RV00378,2025-01-11,10,2025-01-21,LOC098,LOC062,Partner,95,950,Completed,Bike Rack,Summer
BK00141,2023-01-20,CUST36795,RV00320,2023-04-02,8,2023-04-10,LOC025,LOC006,Walk-in,68,544,Completed,Bike Rack,Spring
BK00142,2023-02-04,CUST26709,RV00909,2023-03-31,8,2023-04-08,LOC031,LOC067,Walk-in,141,1128,Completed,Child Seat,Fall
BK00143,2025-01-26,CUST24131,RV00831,2025-04-04,9,2025-04-13,LOC074,LOC077,Walk-in,63,567,Completed,GPS,Spring
BK00144,2022-04-08,CUST47533,RV00869,2022-05-03,12,2022-05-15,LOC008,LOC019,Walk-in,109,1308,Completed,BBQ Kit,Fall
BK00145,2023-01-24,CUST48969,RV00736,2023-04-05,6,2023-04-11,LOC072,LOC098,Partner,84,504,Completed,BBQ Kit,Winter
BK00146,2023-06-16,CUST26823,RV00173,2023-08-11,12,2023-08-23,LOC081,LOC077,App,50,600,Completed,Bedding,Fall
BK00147,2022-10-19,CUST34998,RV00769,2022-11-15,10,2022-11-25,LOC063,LOC008,Online,121,1210,Completed,Child Seat,Summer
BK00148,2024-06-07,CUST22219,RV00496,2024-06-30,7,2024-07-07,LOC049,LOC046,Online,78,546,Completed,Child Seat,Fall
BK00149,2025-03-09,CUST20312,RV00761,2025-04-18,8,2025-04-26,LOC092,LOC058,App,95,760,Completed,GPS,Spring
BK00150,2024-09-11,CUST30300,RV00035,2024-11-08,13,2024-11-21,LOC038,LOC053,Walk-in,51,663,Completed,Bike Rack,Winter
BK00151,2022-10-06,CUST34437,RV00040,2022-11-11,8,2022-11-19,LOC067,LOC029,Walk-in,66,528,Completed,GPS,Summer
BK00152,2022-06-08,CUST06405,RV00915,2022-08-21,10,2022-08-31,LOC040,LOC089,Online,159,1590,Cancelled,BBQ Kit,Spring
BK00153,2023-03-17,CUST22796,RV00511,2023-04-18,8,2023-04-26,LOC099,LOC012,Online,84,672,Completed,Child Seat,Spring
BK00154,2022-07-03,CUST16408,RV00122,2022-07-26,4,2022-07-30,LOC073,LOC021,Partner,122,488,Completed,Child Seat,Winter
BK00155,2024-08-12,CUST24971,RV00402,2024-09-21,7,2024-09-28,LOC097,LOC073,Partner,137,959,Completed,Bike Rack,Spring
BK00156,2024-05-22,CUST15943,RV00431,2024-07-09,7,2024-07-16,LOC063,LOC060,App,176,1232,Completed,None,Summer
BK00157,2023-08-20,CUST09287,RV00010,2023-09-13,12,2023-09-25,LOC066,LOC081,Online,128,1536,Completed,GPS,Winter
BK00158,2024-01-07,CUST15451,RV00573,2024-04-01,13,2024-04-14,LOC096,LOC094,Partner,54,702,Cancelled,Child Seat,Winter
BK00159,2023-12-19,CUST10837,RV00117,2024-01-27,8,2024-02-04,LOC085,LOC093,Partner,195,1560,Completed,GPS,Summer
BK00160,2023-12-22,CUST27010,RV00701,2024-01-31,7,2024-02-07,LOC089,LOC017,Online,107,749,Completed,Child Seat,Winter
BK00161,2023-05-03,CUST12539,RV00880,2023-06-01,5,2023-06-06,LOC030,LOC072,Walk-in,186,930,Completed,Child Seat,Winter
BK00162,2024-12-15,CUST44361,RV00320,2025-01-29,7,2025-02-05,LOC036,LOC041,Partner,134,938,Cancelled,Bedding,Summer
BK00163,2023-10-31,CUST27235,RV00654,2023-12-04,4,2023-12-08,LOC084,LOC009,Online,171,684,Completed,Child Seat,Fall
BK00164,2024-08-21,CUST21204,RV00513,2024-09-05,2,2024-09-07,LOC071,LOC097,Partner,71,142,Completed,Bedding,Winter
BK00165,2022-03-04,CUST29045,RV00065,2022-05-13,2,2022-05-15,LOC041,LOC070,App,193,386,Completed,BBQ Kit,Fall
BK00166,2024-03-19,CUST37551,RV00709,2024-06-16,6,2024-06-22,LOC041,LOC002,Partner,156,936,Completed,None,Spring
BK00167,2022-06-09,CUST02573,RV00058,2022-08-30,12,2022-09-11,LOC017,LOC026,Walk-in,69,828,Completed,GPS,Summer
BK00168,2023-03-26,CUST33516,RV00543,2023-06-05,14,2023-06-19,LOC062,LOC037,Online,178,2492,Completed,Child Seat,Summer
BK00169,2024-08-18,CUST06112,RV00776,2024-08-20,9,2024-08-29,LOC100,LOC055,App,133,1197,Completed,Child Seat,Winter
BK00170,2022-11-14,CUST22370,RV00145,2022-11-15,4,2022-11-19,LOC028,LOC022,Walk-in,184,736,Completed,Child Seat,Summer
BK00171,2022-05-17,CUST35728,RV00196,2022-07-10,14,2022-07-24,LOC066,LOC008,App,149,2086,Completed,BBQ Kit,Winter
BK00172,2024-08-23,CUST12227,RV00765,2024-08-25,3,2024-08-28,LOC055,LOC091,Partner,66,198,Completed,BBQ Kit,Fall
BK00173,2022-12-08,CUST13914,RV00246,2023-01-13,9,2023-01-22,LOC083,LOC096,Partner,104,936,Completed,None,Fall
BK00174,2023-05-30,CUST39110,RV00597,2023-08-06,10,2023-08-16,LOC009,LOC072,Partner,100,1000,Cancelled,GPS,Spring
BK00175,2022-04-15,CUST31911,RV00903,2022-05-13,10,2022-05-23,LOC059,LOC092,Partner,193,1930,Completed,Bedding,Spring
BK00176,2022-10-10,CUST36985,RV00814,2023-01-05,3,2023-01-08,LOC021,LOC016,Partner,50,150,Completed,Child Seat,Summer
BK00177,2023-01-10,CUST27479,RV00973,2023-01-30,13,2023-02-12,LOC048,LOC052,Walk-in,144,1872,Completed,BBQ Kit,Spring
BK00178,2024-02-07,CUST46488,RV00314,2024-03-15,9,2024-03-24,LOC037,LOC069,Partner,118,1062,Completed,GPS,Spring
BK00179,2023-02-01,CUST49515,RV00066,2023-04-01,3,2023-04-04,LOC029,LOC098,Partner,59,177,Completed,Child Seat,Summer
BK00180,2022-07-08,CUST41200,RV00500,2022-08-21,8,2022-08-29,LOC021,LOC059,Partner,73,584,Completed,Child Seat,Winter
BK00181,2024-04-12,CUST23371,RV00920,2024-04-24,9,2024-05-03,LOC015,LOC040,Walk-in,101,909,Completed,GPS,Summer
BK00182,2023-09-08,CUST28756,RV00432,2023-10-10,2,2023-10-12,LOC020,LOC090,Online,174,348,Cancelled,Bedding,Fall
BK00183,2024-05-13,CUST12868,RV00502,2024-06-20,9,2024-06-29,LOC012,LOC029,App,177,1593,Completed,Bike Rack,Winter
BK00184,2023-04-20,CUST02988,RV00088,2023-05-21,4,2023-05-25,LOC010,LOC051,Partner,68,272,Completed,Bedding,Spring
BK00185,2022-07-13,CUST22353,RV00117,2022-07-31,14,2022-08-14,LOC093,LOC025,Partner,173,2422,Cancelled,BBQ Kit,Fall
BK00186,2024-10-08,CUST18926,RV00814,2024-11-06,2,2024-11-08,LOC047,LOC056,Walk-in,171,342,Completed,GPS,Summer
BK00187,2023-05-05,CUST22052,RV00388,2023-06-25,8,2023-07-03,LOC039,LOC100,Online,141,1128,Completed,BBQ Kit,Spring
BK00188,2023-12-17,CUST08808,RV00924,2024-01-15,11,2024-01-26,LOC017,LOC004,Online,113,1243,Completed,None,Fall
BK00189,2024-08-29,CUST47264,RV00790,2024-10-31,4,2024-11-04,LOC020,LOC076,Online,196,784,Completed,Bedding,Fall
BK00190,2022-10-19,CUST37126,RV00224,2023-01-08,9,2023-01-17,LOC096,LOC082,Online,186,1674,Completed,GPS,Fall
BK00191,2024-05-09,CUST25074,RV00908,2024-05-29,10,2024-06-08,LOC088,LOC031,App,85,850,Completed,Child Seat,Winter
BK00192,2024-01-15,CUST37692,RV00355,2024-02-15,3,2024-02-18,LOC030,LOC017,Partner,63,189,Completed,None,Summer
BK00193,2023-12-12,CUST07997,RV00458,2024-01-12,2,2024-01-14,LOC016,LOC082,Partner,120,240,Completed,Bike Rack,Summer
BK00194,2024-03-05,CUST15433,RV00431,2024-05-02,9,2024-05-11,LOC020,LOC066,Partner,119,1071,Completed,Bike Rack,Spring
